buurtcode,woningtype,QI_bouwjaarklasse,aantal_woningen,gem_epi,gem_oppervlakte,aantal_kleine_woningen,buurtnaam
BU03070900,Detached house,1975-1990,11,1.638181818,228.4545455,0,Elly Takmastraat
BU03070902,Apartment,1975-1990,229,1.442882096,67.77292576,207,Camera Obscurastraat
BU03070902,Terraced house,1975-1990,504,1.551111111,126.8670635,0,Camera Obscurastraat
BU03070902,Semi-detached house,1975-1990,10,1.72,198.8,0,Camera Obscurastraat
BU03070902,Detached house,<1946,1,2.8,315,0,Camera Obscurastraat
BU03070902,Detached house,1946-1974,2,1.615,266.5,0,Camera Obscurastraat
BU03070902,Detached house,1975-1990,18,1.685,187.2777778,0,Camera Obscurastraat
BU03070903,Apartment,1975-1990,291,1.456563574,70.19931271,167,Queekhoven
BU03070903,Terraced house,1975-1990,712,1.512148876,114.1882022,0,Queekhoven
BU03070903,Semi-detached house,<1946,2,2.49,190,0,Queekhoven
BU03070903,Semi-detached house,1975-1990,16,1.691875,162,0,Queekhoven
BU03070903,Semi-detached house,1991-2000,2,1.36,267,0,Queekhoven
BU03070903,Detached house,<1946,4,1.995,140,0,Queekhoven
BU03070903,Detached house,2001-2010,1,1.21,179,0,Queekhoven
BU03070903,Detached house,>2010,1,0.9,350,0,Queekhoven
BU03070905,Apartment,1975-1990,51,1.265490196,82,0,Het Gein
BU03070905,Apartment,1991-2000,105,1.319714286,85.47619048,0,Het Gein
BU03070905,Terraced house,1975-1990,406,1.577783251,119.9236453,0,Het Gein
BU03071000,Apartment,1946-1974,130,0.995538462,80.34615385,1,Liendertsedreef
BU03071000,Apartment,1975-1990,3,2.893333333,22,3,Liendertsedreef
BU03071000,Apartment,1991-2000,23,1.308695652,108,0,Liendertsedreef
BU03071000,Terraced house,<1946,4,2.145,91.25,0,Liendertsedreef
BU03071000,Terraced house,1946-1974,136,2.044632353,133.5588235,0,Liendertsedreef
BU03071000,Terraced house,1975-1990,4,1.66,109.75,0,Liendertsedreef
BU03071000,Terraced house,1991-2000,1,1.37,18,1,Liendertsedreef
BU03071000,Terraced house,>2010,49,0.766938776,127.1020408,0,Liendertsedreef
BU03071000,Semi-detached house,<1946,2,2.055,181,0,Liendertsedreef
BU03071000,Semi-detached house,1946-1974,28,2.224642857,164.5357143,1,Liendertsedreef
BU03071000,Detached house,<1946,1,2.23,177,0,Liendertsedreef
BU03071000,Detached house,1946-1974,20,2.084,189.35,0,Liendertsedreef
BU03071000,Detached house,1975-1990,2,1.82,226.5,0,Liendertsedreef
BU03071000,Detached house,1991-2000,1,1.21,163,0,Liendertsedreef
BU03071001,Apartment,1946-1974,421,1.835510689,84.18052257,129,Vinkenbaan
BU03071001,Apartment,1991-2000,20,1.1465,67,20,Vinkenbaan
BU03071001,Apartment,>2010,24,0.93625,58,16,Vinkenbaan
BU03071001,Terraced house,1946-1974,255,2.311372549,99.17647059,0,Vinkenbaan
BU03071001,Terraced house,1991-2000,6,1.37,125.1666667,0,Vinkenbaan
BU03071001,Terraced house,>2010,39,1,126.4615385,0,Vinkenbaan
BU03071002,Apartment,1946-1974,513,1.389434698,81.73099415,80,De Horsten
BU03071002,Terraced house,1946-1974,235,2.012765957,121.9021277,0,De Horsten
BU03071002,Terraced house,>2010,49,0.641020408,108.5510204,0,De Horsten
BU03071003,Apartment,1946-1974,582,2.181890034,83.64089347,280,Albatrosstraat
BU03071003,Terraced house,1946-1974,235,2.095446809,117.9702128,0,Albatrosstraat
BU03071003,Semi-detached house,1946-1974,18,2.413888889,160.2222222,0,Albatrosstraat
BU03071003,Semi-detached house,1975-1990,12,1.741666667,106.5,0,Albatrosstraat
BU03071003,Detached house,1946-1974,4,2.25,200.25,0,Albatrosstraat
BU03071004,Apartment,1946-1974,179,1.874469274,78.6424581,102,Zwaluwenstraat
BU03071004,Apartment,1991-2000,128,1.21453125,76,0,Zwaluwenstraat
BU03071004,Apartment,>2010,77,0.863246753,87.68831169,31,Zwaluwenstraat
BU03071004,Terraced house,1946-1974,199,1.644824121,119.080402,0,Zwaluwenstraat
BU03071004,Terraced house,>2010,14,0.997142857,135,0,Zwaluwenstraat
BU03071100,Terraced house,1975-1990,581,1.610516351,122.6471601,16,Rustenburg-Noord
BU03071100,Detached house,1975-1990,22,1.816363636,227.2727273,0,Rustenburg-Noord
BU03071101,Apartment,1946-1974,165,1.589636364,71.95757576,151,Rustenburg-Zuid
BU03071101,Apartment,>2010,14,0.727857143,91.64285714,1,Rustenburg-Zuid
BU03071101,Terraced house,1975-1990,545,1.667522936,150.053211,4,Rustenburg-Zuid
BU03071101,Semi-detached house,1975-1990,10,1.732,167,0,Rustenburg-Zuid
BU03071101,Detached house,1975-1990,6,1.696666667,219,0,Rustenburg-Zuid
BU03071201,Semi-detached house,<1946,4,2.505,159.5,0,Bloeidaal
BU03071201,Detached house,<1946,17,2.297058824,235.0588235,0,Bloeidaal
BU03071201,Detached house,1946-1974,6,2.463333333,166.1666667,0,Bloeidaal
BU03071201,Detached house,1975-1990,3,1.746666667,95,1,Bloeidaal
BU03071201,Detached house,2001-2010,7,1.091428571,268.2857143,0,Bloeidaal
BU03071201,Detached house,>2010,19,0.910526316,192.7894737,0,Bloeidaal
BU03071202,Apartment,<1946,9,2.272222222,142.4444444,3,Stoutenburgerlaan
BU03071202,Semi-detached house,<1946,4,2.49,180,0,Stoutenburgerlaan
BU03071202,Semi-detached house,1946-1974,1,2.49,45,1,Stoutenburgerlaan
BU03071202,Detached house,<1946,16,2.218125,204.4375,0,Stoutenburgerlaan
BU03071202,Detached house,1946-1974,11,2.092727273,223.0909091,0,Stoutenburgerlaan
BU03071202,Detached house,1975-1990,3,1.82,205.3333333,0,Stoutenburgerlaan
BU03071202,Detached house,1991-2000,3,1.413333333,167,0,Stoutenburgerlaan
BU03071202,Detached house,2001-2010,2,1.055,577,0,Stoutenburgerlaan
BU03071300,Apartment,1946-1974,110,1.601181818,63,110,Romeostraat
BU03071300,Apartment,1991-2000,56,1.3975,88.71428571,0,Romeostraat
BU03071300,Terraced house,1946-1974,458,1.888471616,132.4344978,0,Romeostraat
BU03071300,Terraced house,1991-2000,27,1.351111111,161.4444444,0,Romeostraat
BU03071300,Terraced house,2001-2010,22,0.940909091,109.4545455,0,Romeostraat
BU03071301,Apartment,1946-1974,416,1.342427885,83.19711538,128,Ariaweg
BU03071301,Apartment,2001-2010,15,1.304666667,70,15,Ariaweg
BU03071301,Terraced house,1946-1974,16,1.983125,126,0,Ariaweg
BU03071301,Terraced house,>2010,30,0.638666667,121,0,Ariaweg
BU03071301,Detached house,<1946,2,2.23,303.5,0,Ariaweg
BU03071301,Detached house,1991-2000,1,1.21,235,0,Ariaweg
BU03071302,Apartment,1946-1974,474,2.232510549,97.16033755,56,Verdiweg
BU03071302,Terraced house,1946-1974,84,2.077380952,169.297619,0,Verdiweg
BU03071302,Terraced house,1975-1990,54,1.637407407,106.1111111,0,Verdiweg
BU03071302,Semi-detached house,1946-1974,4,2.355,197.25,0,Verdiweg
BU03071302,Semi-detached house,1975-1990,4,1.5825,165.25,0,Verdiweg
BU03071302,Detached house,1946-1974,14,2.074285714,192.6428571,0,Verdiweg
BU03071302,Detached house,1975-1990,8,1.76,228.375,0,Verdiweg
BU03071400,Apartment,<1946,2,2.2,115.5,1,Willem III
BU03071400,Apartment,1946-1974,3,2.2,128,2,Willem III
BU03071400,Apartment,1975-1990,441,1.610408163,66.99092971,302,Willem III
BU03071400,Terraced house,<1946,44,2.130909091,113.1590909,0,Willem III
BU03071400,Terraced house,1975-1990,333,1.590750751,124.990991,2,Willem III
BU03071400,Terraced house,2001-2010,1,0.9,149,0,Willem III
BU03071400,Semi-detached house,2001-2010,2,1.18,170,0,Willem III
BU03071400,Detached house,<1946,2,3.525,248.5,0,Willem III
BU03071400,Detached house,1946-1974,2,2.23,261,0,Willem III
BU03071400,Detached house,1975-1990,5,1.672,172,0,Willem III
BU03071401,Apartment,<1946,4,2.2,45.25,4,Randenbroekerweg
BU03071401,Apartment,1946-1974,306,2.012875817,80.09150327,141,Randenbroekerweg
BU03071401,Apartment,1975-1990,28,1.366071429,85.53571429,0,Randenbroekerweg
BU03071401,Apartment,1991-2000,154,1.283766234,64.82467532,105,Randenbroekerweg
BU03071401,Apartment,2001-2010,26,1.237692308,84.73076923,9,Randenbroekerweg
BU03071401,Terraced house,<1946,45,2.150666667,135.1333333,0,Randenbroekerweg
BU03071401,Terraced house,1946-1974,140,1.636928571,109.7642857,0,Randenbroekerweg
BU03071401,Terraced house,1991-2000,25,1.3588,146.24,0,Randenbroekerweg
BU03071401,Semi-detached house,<1946,152,2.401184211,142.2763158,0,Randenbroekerweg
BU03071401,Semi-detached house,1946-1974,14,2.389285714,159,0,Randenbroekerweg
BU03071401,Detached house,<1946,20,2.028,190.4,0,Randenbroekerweg
BU03071401,Detached house,1946-1974,4,2.16,252.75,0,Randenbroekerweg
BU03071401,Detached house,1991-2000,1,1.21,145,0,Randenbroekerweg
BU03071401,Detached house,2001-2010,9,0.98,247.1111111,0,Randenbroekerweg
BU03071402,Apartment,1946-1974,333,1.765495495,87.40540541,205,Bachweg-Zuid
BU03071402,Apartment,1975-1990,214,1.314626168,68.58411215,162,Bachweg-Zuid
BU03071402,Apartment,2001-2010,26,1.101153846,94.57692308,11,Bachweg-Zuid
BU03071402,Terraced house,1946-1974,95,1.664421053,104.2315789,0,Bachweg-Zuid
BU03071402,Terraced house,>2010,9,1.014444444,106,0,Bachweg-Zuid
BU03071402,Detached house,<1946,4,2.31,148.25,0,Bachweg-Zuid
BU03071402,Detached house,1946-1974,3,2.216666667,239.6666667,0,Bachweg-Zuid
BU03071403,Apartment,<1946,4,2.3,109.75,1,Weberstraat
BU03071403,Apartment,1946-1974,460,2.021282609,78.32608696,372,Weberstraat
BU03071403,Apartment,>2010,66,0.824090909,93.06060606,2,Weberstraat
BU03071403,Terraced house,1946-1974,264,1.589848485,114.5984848,0,Weberstraat
BU03071403,Terraced house,>2010,189,0.821640212,120.1005291,0,Weberstraat
BU03071403,Semi-detached house,1946-1974,26,2.298461538,110.5,0,Weberstraat
BU03071403,Semi-detached house,>2010,20,0.8745,163.1,0,Weberstraat
BU03071403,Detached house,<1946,7,2.407142857,215.7142857,0,Weberstraat
BU03071403,Detached house,1946-1974,3,2.23,127,0,Weberstraat
BU03071403,Detached house,2001-2010,1,1.3,390,0,Weberstraat
BU03071403,Detached house,>2010,13,0.907692308,247.9230769,0,Weberstraat
BU03071500,Apartment,<1946,52,2.233461538,59.94230769,40,Bekenstein en De Luiaard
BU03071500,Apartment,1975-1990,74,1.651486486,56.60810811,70,Bekenstein en De Luiaard
BU03071500,Apartment,1991-2000,59,1.257457627,95.6440678,19,Bekenstein en De Luiaard
BU03071500,Apartment,2001-2010,55,1.309818182,80.58181818,3,Bekenstein en De Luiaard
BU03071500,Apartment,>2010,19,0.9,34.57894737,18,Bekenstein en De Luiaard
BU03071500,Terraced house,<1946,337,2.182047478,134.7774481,22,Bekenstein en De Luiaard
BU03071500,Terraced house,1946-1974,2,2.06,162,0,Bekenstein en De Luiaard
BU03071500,Terraced house,1991-2000,14,1.341428571,121.6428571,0,Bekenstein en De Luiaard
BU03071500,Terraced house,2001-2010,3,0.9,147.3333333,0,Bekenstein en De Luiaard
BU03071500,Semi-detached house,<1946,92,2.444565217,158.2065217,0,Bekenstein en De Luiaard
BU03071500,Detached house,<1946,34,2.335,170.9411765,0,Bekenstein en De Luiaard
BU03071500,Detached house,1946-1974,1,2.23,217,0,Bekenstein en De Luiaard
BU03071500,Detached house,1975-1990,1,1.82,141,0,Bekenstein en De Luiaard
BU03071501,Apartment,<1946,2,2.2,85.5,1,Rubensstraat
BU03071501,Apartment,1946-1974,256,1.517148437,86.84375,153,Rubensstraat
BU03071501,Apartment,1975-1990,28,1.3725,172.1428571,0,Rubensstraat
BU03071501,Apartment,>2010,16,0.68875,51.5,16,Rubensstraat
BU03071501,Terraced house,<1946,233,2.132961373,144.3175966,0,Rubensstraat
BU03071501,Terraced house,1975-1990,19,1.584210526,170.7894737,0,Rubensstraat
BU03071501,Terraced house,>2010,54,0.828333333,122.1296296,0,Rubensstraat
BU03071501,Semi-detached house,<1946,142,2.375070423,165.8943662,0,Rubensstraat
BU03071501,Semi-detached house,1975-1990,2,1.7,136,0,Rubensstraat
BU03071502,Apartment,<1946,25,2.19,68.72,16,Albert Cuypstraat
BU03071502,Apartment,1946-1974,17,2.102352941,47.82352941,17,Albert Cuypstraat
BU03071502,Apartment,1975-1990,67,1.386865672,47.04477612,57,Albert Cuypstraat
BU03071502,Apartment,1991-2000,14,1.234285714,85.35714286,0,Albert Cuypstraat
BU03071502,Apartment,>2010,18,0.922222222,66.05555556,13,Albert Cuypstraat
BU03071502,Terraced house,<1946,557,2.191921005,117.0305206,27,Albert Cuypstraat
BU03071502,Terraced house,1946-1974,1,1.71,105,0,Albert Cuypstraat
BU03071502,Terraced house,1991-2000,7,1.205714286,102.1428571,0,Albert Cuypstraat
BU03071502,Semi-detached house,<1946,95,2.395473684,129.4315789,0,Albert Cuypstraat
BU03071502,Detached house,<1946,13,2.123076923,143.3846154,1,Albert Cuypstraat
BU03071502,Detached house,1946-1974,2,1.855,146,0,Albert Cuypstraat
BU03071502,Detached house,1975-1990,1,1.82,50,1,Albert Cuypstraat
BU03071503,Apartment,1946-1974,125,1.33776,47.36,125,Dorrestein
BU03071503,Apartment,1975-1990,240,1.788416667,62.04166667,238,Dorrestein
BU03071503,Terraced house,1946-1974,36,2.088055556,196.7222222,0,Dorrestein
BU03071503,Terraced house,1975-1990,6,1.621666667,178,0,Dorrestein
BU03071503,Semi-detached house,1946-1974,48,2.016458333,186.6666667,0,Dorrestein
BU03071503,Detached house,<1946,1,2.23,203,0,Dorrestein
BU03071503,Detached house,1946-1974,20,2.1235,214.5,0,Dorrestein
BU03071503,Detached house,1975-1990,21,1.773333333,231.4761905,0,Dorrestein
BU03071503,Detached house,1991-2000,1,1.21,250,0,Dorrestein
BU03071600,Apartment,<1946,12,2.06,58.83333333,8,De Driehoek
BU03071600,Apartment,1946-1974,30,2.192333333,81.4,20,De Driehoek
BU03071600,Apartment,1975-1990,25,1.6828,67.16,15,De Driehoek
BU03071600,Apartment,1991-2000,3,1.203333333,107.6666667,0,De Driehoek
BU03071600,Terraced house,<1946,430,2.181046512,109.1325581,30,De Driehoek
BU03071600,Terraced house,1946-1974,71,2.282535211,101.7746479,1,De Driehoek
BU03071600,Terraced house,1991-2000,16,1.280625,92.5625,0,De Driehoek
BU03071600,Semi-detached house,<1946,58,2.265689655,128.0862069,2,De Driehoek
BU03071600,Semi-detached house,1946-1974,10,2.423,128.7,0,De Driehoek
BU03071600,Semi-detached house,1975-1990,1,2.25,121,0,De Driehoek
BU03071600,Detached house,<1946,7,2.664285714,137.4285714,1,De Driehoek
BU03071600,Detached house,1975-1990,1,1.82,157,0,De Driehoek
BU03071601,Apartment,<1946,11,2.03,67,8,Voltastraat
BU03071601,Apartment,1946-1974,144,2.199097222,89.13194444,56,Voltastraat
BU03071601,Apartment,1975-1990,79,1.778481013,69.73417722,52,Voltastraat
BU03071601,Apartment,1991-2000,7,1.362857143,70.28571429,2,Voltastraat
BU03071601,Apartment,2001-2010,28,1.188214286,98.21428571,0,Voltastraat
BU03071601,Terraced house,<1946,258,2.161782946,134.6007752,3,Voltastraat
BU03071601,Terraced house,1946-1974,41,2.075853659,128.7073171,0,Voltastraat
BU03071601,Terraced house,1975-1990,6,1.64,114.3333333,0,Voltastraat
BU03071601,Terraced house,1991-2000,1,1.37,212,0,Voltastraat
BU03071601,Terraced house,2001-2010,16,1.29625,175.375,0,Voltastraat
BU03071601,Semi-detached house,<1946,150,2.373733333,160.9933333,0,Voltastraat
BU03071601,Semi-detached house,1946-1974,22,2.329090909,158.2272727,0,Voltastraat
BU03071601,Semi-detached house,1991-2000,2,1.36,178,0,Voltastraat
BU03071601,Semi-detached house,2001-2010,8,1.36,219.625,0,Voltastraat
BU03071601,Detached house,<1946,8,2.4275,199,0,Voltastraat
BU03071601,Detached house,1946-1974,6,2.23,364.6666667,1,Voltastraat
BU03071601,Detached house,1975-1990,17,1.812941176,244.1176471,0,Voltastraat
BU03071601,Detached house,1991-2000,1,1.21,289,0,Voltastraat
BU03071601,Detached house,2001-2010,21,1.18952381,277.4761905,0,Voltastraat
BU03071602,Apartment,<1946,10,2.2,38.6,9,Bosweg
BU03071602,Apartment,1946-1974,335,1.704477612,83.7641791,218,Bosweg
BU03071602,Apartment,1975-1990,24,1.4125,75.29166667,15,Bosweg
BU03071602,Apartment,2001-2010,38,1.23,100.0789474,0,Bosweg
BU03071602,Terraced house,<1946,281,2.102419929,133.8042705,1,Bosweg
BU03071602,Terraced house,1946-1974,208,2.172259615,103.0288462,0,Bosweg
BU03071602,Terraced house,1975-1990,37,1.594054054,168.0810811,0,Bosweg
BU03071602,Semi-detached house,<1946,82,2.359756098,135.4268293,2,Bosweg
BU03071602,Semi-detached house,1946-1974,24,2.167083333,210.0833333,0,Bosweg
BU03071602,Semi-detached house,1975-1990,2,1.7,133,0,Bosweg
BU03071602,Semi-detached house,>2010,2,0.585,207,0,Bosweg
BU03071602,Detached house,<1946,8,2.17125,166.125,0,Bosweg
BU03071602,Detached house,1946-1974,2,2.385,186,0,Bosweg
BU03071602,Detached house,2001-2010,1,1.21,254,0,Bosweg
BU03071603,Semi-detached house,<1946,2,2.49,516.5,0,Nimmerdor
BU03071603,Detached house,<1946,5,2.23,195.4,0,Nimmerdor
BU03071603,Detached house,1946-1974,2,2.23,132.5,1,Nimmerdor
BU03071603,Detached house,1975-1990,1,1.82,643,0,Nimmerdor
BU03071603,Detached house,1991-2000,1,1.21,159,0,Nimmerdor
BU03071700,Apartment,<1946,6,1.836666667,66,4,Westerstraat
BU03071700,Apartment,2001-2010,6,0.966666667,86.66666667,3,Westerstraat
BU03071700,Terraced house,<1946,180,2.227388889,112.1444444,23,Westerstraat
BU03071700,Semi-detached house,<1946,6,2.48,141.1666667,1,Westerstraat
BU03071700,Detached house,<1946,2,2.23,137,0,Westerstraat
BU03071700,Detached house,1946-1974,3,1.97,152.3333333,0,Westerstraat
BU03071701,Apartment,<1946,10,2.151,96.5,0,Juliana van Stolberg
BU03071701,Apartment,1975-1990,531,1.457156309,68.80037665,319,Juliana van Stolberg
BU03071701,Terraced house,<1946,115,2.00373913,155.2,0,Juliana van Stolberg
BU03071701,Terraced house,1975-1990,134,1.598432836,110.7313433,0,Juliana van Stolberg
BU03071702,Apartment,<1946,18,1.656666667,48.16666667,16,Huygenslaan
BU03071702,Apartment,1946-1974,9,1.992222222,119.8888889,1,Huygenslaan
BU03071702,Terraced house,<1946,11,2.123636364,176.7272727,0,Huygenslaan
BU03071702,Semi-detached house,<1946,102,2.460392157,196.6764706,0,Huygenslaan
BU03071702,Semi-detached house,1946-1974,2,2.175,186.5,0,Huygenslaan
BU03071702,Semi-detached house,1975-1990,6,1.515,228.6666667,0,Huygenslaan
BU03071702,Detached house,<1946,35,2.216285714,289.6,0,Huygenslaan
BU03071702,Detached house,1946-1974,3,1.896666667,327.6666667,0,Huygenslaan
BU03071702,Detached house,1975-1990,1,1.82,431,0,Huygenslaan
BU03071702,Detached house,1991-2000,2,1.21,219.5,0,Huygenslaan
BU03071702,Detached house,2001-2010,1,1.21,438,0,Huygenslaan
BU03071703,Apartment,<1946,2,2.2,108,1,De Lichtenberg
BU03071703,Terraced house,<1946,146,2.17390411,142.9041096,0,De Lichtenberg
BU03071703,Terraced house,1946-1974,6,2.083333333,170.1666667,0,De Lichtenberg
BU03071703,Terraced house,1991-2000,3,1.37,228.3333333,0,De Lichtenberg
BU03071703,Semi-detached house,<1946,111,2.401981982,174.0990991,1,De Lichtenberg
BU03071703,Semi-detached house,1946-1974,14,2.004285714,172.2142857,0,De Lichtenberg
BU03071703,Semi-detached house,1991-2000,2,1.45,250,0,De Lichtenberg
BU03071703,Detached house,<1946,7,2.421428571,246,0,De Lichtenberg
BU03071703,Detached house,1946-1974,12,2.445,199.8333333,0,De Lichtenberg
BU03071704,Apartment,<1946,14,2.114285714,87.57142857,10,Verhoevenstraat
BU03071704,Terraced house,<1946,362,2.310718232,120.5773481,9,Verhoevenstraat
BU03071704,Terraced house,1946-1974,4,1.83,134.75,0,Verhoevenstraat
BU03071704,Terraced house,>2010,1,0.9,288,0,Verhoevenstraat
BU03071704,Semi-detached house,<1946,63,2.465873016,127.3650794,1,Verhoevenstraat
BU03071704,Semi-detached house,1975-1990,1,1.8,147,0,Verhoevenstraat
BU03071704,Semi-detached house,2001-2010,2,1,74,2,Verhoevenstraat
BU03071704,Detached house,<1946,2,2.39,143.5,0,Verhoevenstraat
BU03071705,Apartment,1946-1974,48,2.300416667,72.04166667,24,Indische Buurt
BU03071705,Terraced house,<1946,174,2.149885057,160.8390805,0,Indische Buurt
BU03071705,Terraced house,1946-1974,34,2.039705882,160.1470588,0,Indische Buurt
BU03071705,Semi-detached house,<1946,76,2.364342105,161.5657895,0,Indische Buurt
BU03071705,Semi-detached house,1946-1974,54,2.320185185,178.5925926,0,Indische Buurt
BU03071705,Semi-detached house,1975-1990,2,1.8,202,0,Indische Buurt
BU03071705,Detached house,<1946,12,2.310833333,198.8333333,0,Indische Buurt
BU03071705,Detached house,1946-1974,15,2.186666667,171.5333333,0,Indische Buurt
BU03071705,Detached house,1975-1990,1,0.99,297,0,Indische Buurt
BU03071706,Apartment,1946-1974,452,1.308384956,91.18141593,119,Curacaolaan
BU03071706,Detached house,1946-1974,1,2.23,122,0,Curacaolaan
BU03071707,Apartment,<1946,2,2.2,210.5,0,Klein Zwitserland
BU03071707,Semi-detached house,<1946,2,2.58,414.5,0,Klein Zwitserland
BU03071707,Semi-detached house,1975-1990,2,1.8,283.5,0,Klein Zwitserland
BU03071707,Detached house,<1946,6,2.23,425.3333333,0,Klein Zwitserland
BU03071707,Detached house,1946-1974,5,2.234,340.4,0,Klein Zwitserland
BU03071707,Detached house,1975-1990,4,1.765,309.5,0,Klein Zwitserland
BU03071707,Detached house,2001-2010,1,1.21,260,0,Klein Zwitserland
BU03071800,Apartment,<1946,2,2.2,38.5,2,Regentesselaan
BU03071800,Apartment,1975-1990,32,1.3946875,147.3125,0,Regentesselaan
BU03071800,Apartment,1991-2000,9,1.314444444,138.2222222,0,Regentesselaan
BU03071800,Terraced house,<1946,25,2.1952,156,3,Regentesselaan
BU03071800,Terraced house,1946-1974,1,2.06,153,0,Regentesselaan
BU03071800,Semi-detached house,<1946,144,2.438472222,227.6111111,1,Regentesselaan
BU03071800,Semi-detached house,1946-1974,10,2.186,220.9,0,Regentesselaan
BU03071800,Semi-detached house,1975-1990,6,1.803333333,209.6666667,0,Regentesselaan
BU03071800,Semi-detached house,1991-2000,1,1.36,221,0,Regentesselaan
BU03071800,Semi-detached house,>2010,2,1,183,0,Regentesselaan
BU03071800,Detached house,<1946,53,2.312641509,311.4716981,0,Regentesselaan
BU03071800,Detached house,1946-1974,20,2.124,236.8,0,Regentesselaan
BU03071800,Detached house,1991-2000,2,1.21,225.5,0,Regentesselaan
BU03071800,Detached house,2001-2010,1,1.21,329,0,Regentesselaan
BU03071800,Detached house,>2010,2,1.13,165,0,Regentesselaan
BU03071801,Apartment,2001-2010,26,1.296538462,140.3461538,0,Station Berkenweg
BU03071802,Apartment,1946-1974,18,2.251111111,63,12,Thorbeckeplein
BU03071802,Apartment,2001-2010,2,1.305,144.5,0,Thorbeckeplein
BU03071802,Terraced house,<1946,8,1.9875,241.25,0,Thorbeckeplein
BU03071802,Semi-detached house,<1946,92,2.452065217,247.2717391,0,Thorbeckeplein
BU03071802,Semi-detached house,1946-1974,12,2.323333333,185,0,Thorbeckeplein
BU03071802,Detached house,<1946,54,2.252222222,295.037037,0,Thorbeckeplein
BU03071802,Detached house,1946-1974,18,2.015555556,287.8888889,0,Thorbeckeplein
BU03071802,Detached house,1975-1990,1,1.59,276,0,Thorbeckeplein
BU03071802,Detached house,1991-2000,2,1.515,285.5,0,Thorbeckeplein
BU03071802,Detached house,2001-2010,7,1.18,360.4285714,0,Thorbeckeplein
BU03071802,Detached house,>2010,1,3.03,204,0,Thorbeckeplein
BU03071803,Apartment,1946-1974,156,2.09525641,84.57051282,91,Mr. Th. Heemskerklaan
BU03071803,Apartment,>2010,63,0.957142857,136.984127,4,Mr. Th. Heemskerklaan
BU03071803,Terraced house,<1946,56,2.166607143,170.9642857,1,Mr. Th. Heemskerklaan
BU03071803,Terraced house,1946-1974,24,2.140833333,144.6666667,1,Mr. Th. Heemskerklaan
BU03071803,Semi-detached house,<1946,67,2.444328358,226.7761194,0,Mr. Th. Heemskerklaan
BU03071803,Semi-detached house,1946-1974,31,2.289354839,173.483871,0,Mr. Th. Heemskerklaan
BU03071803,Semi-detached house,>2010,8,0.925,286.875,0,Mr. Th. Heemskerklaan
BU03071803,Detached house,<1946,7,2.425714286,282.7142857,0,Mr. Th. Heemskerklaan
BU03071803,Detached house,1946-1974,75,2.131333333,219.3066667,0,Mr. Th. Heemskerklaan
BU03071803,Detached house,1975-1990,7,1.85,248.8571429,0,Mr. Th. Heemskerklaan
BU03071803,Detached house,1991-2000,6,1.428333333,358,0,Mr. Th. Heemskerklaan
BU03071804,Apartment,<1946,11,1.311818182,311.0909091,0,Oranjelaan
BU03071804,Apartment,1975-1990,21,1.460952381,120.6190476,0,Oranjelaan
BU03071804,Apartment,1991-2000,27,1.305925926,123.6666667,0,Oranjelaan
BU03071804,Terraced house,1975-1990,10,1.654,177.5,0,Oranjelaan
BU03071804,Terraced house,1991-2000,65,1.346769231,164.9076923,0,Oranjelaan
BU03071804,Semi-detached house,<1946,48,2.363125,229.3541667,0,Oranjelaan
BU03071804,Semi-detached house,1946-1974,20,2.355,177.35,0,Oranjelaan
BU03071804,Semi-detached house,1975-1990,16,1.784375,163.125,0,Oranjelaan
BU03071804,Semi-detached house,1991-2000,22,1.351818182,206.3181818,0,Oranjelaan
BU03071804,Detached house,<1946,26,2.168846154,347.8846154,0,Oranjelaan
BU03071804,Detached house,1946-1974,24,2.11375,241.4583333,0,Oranjelaan
BU03071804,Detached house,1975-1990,16,1.7775,308.75,0,Oranjelaan
BU03071804,Detached house,1991-2000,27,1.272222222,336.7777778,0,Oranjelaan
BU03071804,Detached house,2001-2010,9,1.102222222,402.8888889,0,Oranjelaan
BU03071804,Detached house,>2010,2,0.9,459.5,0,Oranjelaan
BU03071900,Apartment,1975-1990,81,1.391728395,70.41975309,59,De Ham
BU03071900,Apartment,1991-2000,18,1.323888889,102.3333333,0,De Ham
BU03071900,Terraced house,<1946,9,2.176666667,124.5555556,0,De Ham
BU03071900,Terraced house,1946-1974,16,1.975625,143.125,0,De Ham
BU03071900,Terraced house,1975-1990,408,1.538382353,126.2573529,0,De Ham
BU03071900,Terraced house,2001-2010,17,1.318235294,200,0,De Ham
BU03071900,Terraced house,>2010,10,0.898,151.1,0,De Ham
BU03071900,Semi-detached house,<1946,10,2.372,153.4,0,De Ham
BU03071900,Semi-detached house,1946-1974,38,2.142894737,195.1842105,0,De Ham
BU03071900,Semi-detached house,1975-1990,14,1.647142857,165.3571429,0,De Ham
BU03071900,Semi-detached house,1991-2000,10,1.318,209.9,0,De Ham
BU03071900,Semi-detached house,2001-2010,4,1.04,238.5,0,De Ham
BU03071900,Semi-detached house,>2010,2,0.9,185.5,0,De Ham
BU03071900,Detached house,<1946,6,2.328333333,248.1666667,0,De Ham
BU03071900,Detached house,1946-1974,33,2.107272727,200.5757576,0,De Ham
BU03071900,Detached house,1975-1990,26,1.78,214.0384615,0,De Ham
BU03071900,Detached house,1991-2000,18,1.421666667,226.3888889,0,De Ham
BU03071900,Detached house,2001-2010,5,1.126,205.6,0,De Ham
