neighbourhood_code,space_heating_demand_per_house,hot_water_demand_per_house,space_heating_demand_per_m2_utility,hot_water_demand_per_m2_utility,electricity_demand_per_house,electricity_demand_per_m2_utility,share_of_houses_demolished,number_of_new_apartments,number_of_new_terraced_houses,number_of_new_detached_houses,number_of_new_semi_detached_houses,number_of_new_houses_unknown_type,epi_of_new_houses,size_of_new_houses,existing_heat_network_share,trace_length
BU03071400,29,6,0.223076923,0.046153846,217,1.669230769,0,0,0,0,0,0,0.9,100,0,5744.923074
BU03071401,31,7,0.238461538,0.053846154,112,0.861538462,0,0,0,0,0,0,0.9,100,0,7766.842969
BU03071402,25,6,0.192307692,0.046153846,112,0.861538462,0,0,0,0,0,0,0.9,100,0,5685.330874
BU03071403,28,6,0.215384615,0.046153846,111,0.853846154,0,0,0,0,0,0,0.9,100,0,10179.8395
BU03071500,36,6,0.276923077,0.046153846,220,1.692307692,0,0,0,0,0,0,0.9,100,0,4017.130521
BU03071501,39,6,0.3,0.046153846,113,0.869230769,0,0,0,0,0,0,0.9,100,0,7756.986811
BU03071502,35,7,0.269230769,0.053846154,11,0.084615385,0,0,0,0,0,0,0.9,100,0,4732.327856
BU03071503,31,6,0.238461538,0.046153846,111,0.853846154,0,0,0,0,0,0,0.9,100,0,3760.51786
BU03071600,36,7,0.276923077,0.053846154,114,0.876923077,0,0,0,0,0,0,0.9,100,0,5937.771055
BU03071601,42,7,0.323076923,0.053846154,115,0.884615385,0,0,0,0,0,0,0.9,100,0,8513.080755
BU03071602,35,7,0.269230769,0.053846154,112,0.861538462,0,0,0,0,0,0,0.9,100,0,9958.917366
BU03071603,68,4,0.523076923,0.030769231,544,4.184615385,0,0,0,0,0,0,0.9,100,0,1968.945608
BU03071700,38,7,0.292307692,0.053846154,114,0.876923077,0,0,0,0,0,0,0.9,100,0,1009.515078
BU03071701,24,7,0.184615385,0.053846154,11,0.084615385,0,0,0,0,0,0,0.9,100,0,5137.467959
BU03071702,54,7,0.415384615,0.053846154,116,0.892307692,0,0,0,0,0,0,0.9,100,0,4206.593303
BU03071703,49,8,0.376923077,0.061538462,112,0.861538462,0,0,0,0,0,0,0.9,100,0,4830.652667
BU03071704,41,7,0.315384615,0.053846154,116,0.892307692,0,0,0,0,0,0,0.9,100,0,4263.598313
BU03071705,46,9,0.353846154,0.069230769,10,0.076923077,0,0,0,0,0,0,0.9,100,0,4766.405313
BU03071706,23,6,0.176923077,0.046153846,113,0.869230769,0,0,0,0,0,0,0.9,100,0,4475.020251
BU03071707,58,6,0.446153846,0.046153846,314,2.415384615,0,0,0,0,0,0,0.9,100,0,2357.024734
BU03071800,63,6,0.484615385,0.046153846,426,3.276923077,0,0,0,0,0,0,0.9,100,0,6040.301958
BU03071801,52,1,0.4,0.007692308,1057,8.130769231,0,0,0,0,0,0,0.9,100,0,452.7565094
BU03071802,67,6,0.515384615,0.046153846,421,3.238461538,0,0,0,0,0,0,0.9,100,0,5200.578501
BU03071803,40,8,0.307692308,0.061538462,113,0.869230769,0,0,0,0,0,0,0.9,100,0,7796.99924
BU03071804,51,8,0.392307692,0.061538462,313,2.407692308,0,0,0,0,0,0,0.9,100,0,7759.576061
BU03071900,34,8,0.261538462,0.061538462,113,0.869230769,0,0,0,0,0,0,0.9,100,0,7991.461599
BU03071901,39,7,0.3,0.053846154,213,1.638461538,0,0,0,0,0,0,0.9,100,0,7592.964473
BU03071902,39,8,0.3,0.061538462,12,0.092307692,0,0,0,0,0,0,0.9,100,0,12830.24214
BU03071903,29,7,0.223076923,0.053846154,116,0.892307692,0,0,0,0,0,0,0.9,100,0,6996.45677
