BU_CODE,GM_CODE,InStudieGebied?,Aantal_woningen [Aansluiting],Aantal_utiliteit [Aansluiting],nrWEQ_woningen [WEQ],nrWEQ_utiliteit [WEQ),,nrWEQ_totaal [WEQ],Vraag_perWEQ_Totaal [ giga J per WEQ*yr],Vraag_perWEQ_RV [ giga J per WEQ*yr],Vraag_perWEQ_TW [ giga J per WEQ*yr],Vraag_perWEQ_Vent [ giga J per WEQ*yr],Vraag_perWEQ_K [ giga J per WEQ*yr],Vraag_perWEQ_App [ giga J per WEQ*yr],,Vraag_Totaal [ giga J per yr],Vraag_RV [ giga J per yr],Vraag_TW [ giga J per yr],Vraag_Vent [ giga J per yr],Vraag_K [ giga J per yr],Vraag_App [ giga J per yr],,Studiegebied variabelen,nrWEQ_woningen [WEQ],nrWEQ_utiliteit [WEQ),nrWEQ_totaal [WEQ],Vraag_Totaal [ giga J per yr],Vraag_RV [ giga J per yr],Vraag_TW [ giga J per yr],Vraag_Vent [ giga J per yr],Vraag_K [ giga J per yr],Vraag_App [ giga J per yr],,,,,
BU01931010,GM0193,0,592,246,592,705,,1297,85,41,4,0,3,37,,110271,53189,5189,0,3892,48000,,,,,,,,,,,,,,,,
BU01931020,GM0193,0,465,109,465,387,,852,74,41,5,0,6,22,,63020,34916,4258,0,5110,18736,,,,,,,,,,,,,,,,
BU01931100,GM0193,0,1128,62,1128,470,,1598,56,26,5,0,3,22,,89498,41553,7991,0,4795,35160,,,,,,,,,,,,,,,,
BU01931110,GM0193,0,174,13,174,39,,213,56,33,7,0,2,15,,11934,7033,1492,0,426,3197,,,,,,,,,,,,,,,,
BU01931120,GM0193,0,974,62,974,348,,1322,58,32,6,0,2,18,,76695,42314,7934,0,2645,23802,,,,,,,,,,,,,,,,
BU01931130,GM0193,0,601,106,601,214,,815,63,32,6,0,2,24,,51318,26066,4887,0,1629,19550,,,,,,,,,,,,,,,,
BU01931140,GM0193,0,454,155,454,270,,724,63,36,5,0,2,20,,45618,26068,3621,0,1448,14482,,,,,,,,,,,,,,,,
BU01931150,GM0193,0,1929,250,1929,323,,2252,47,27,6,0,1,13,,105864,60816,13515,0,2252,29282,,,,,,,,,,,,,,,,
BU01931160,GM0193,0,592,34,592,14,,606,44,26,7,0,0,10,,26655,15750,4240,0,0,6058,,,,,,,,,,,,,,,,
BU01931170,GM0193,0,264,0,264,0,,264,31,16,6,0,0,8,,8184,4224,1584,0,0,2112,,,,,,,,,,,,,,,,
BU01931180,GM0193,0,185,47,185,96,,281,57,32,5,0,2,18,,16013,8990,1405,0,562,5057,,,,,,,,,,,,,,,,
BU01931200,GM0193,0,1300,198,1300,146,,1446,63,43,7,0,1,13,,91074,62161,10119,0,1446,18793,,,,,,,,,,,,,,,,
BU01931210,GM0193,0,1852,70,1852,73,,1925,47,30,7,0,0,10,,90498,57765,13478,0,0,19255,,,,,,,,,,,,,,,,
BU01931300,GM0193,0,574,145,574,802,,1376,107,65,4,0,6,32,,147179,89408,5502,0,8253,44016,,,,,,,,,,,,,,,,
BU01931310,GM0193,0,2111,144,2111,327,,2438,59,37,7,0,1,14,,143842,90206,17066,0,2438,34132,,,,,,,,,,,,,,,,
BU01931320,GM0193,0,1418,127,1418,81,,1499,54,34,7,0,0,12,,80951,50969,10494,0,0,17989,,,,,,,,,,,,,,,,
BU01931330,GM0193,0,516,123,516,791,,1307,83,49,4,0,5,25,,108467,64035,5227,0,6534,32671,,,,,,,,,,,,,,,,
BU01931340,GM0193,0,1164,35,1164,224,,1388,53,32,7,0,1,13,,73546,44405,9714,0,1388,18040,,,,,,,,,,,,,,,,
BU01931350,GM0193,0,0,9,0,111,,111,120,64,0,0,7,48,,13339,7114,0,0,778,5336,,,,,,,,,,,,,,,,
BU01931360,GM0193,0,636,223,636,1558,,2194,84,33,2,0,6,42,,184293,72401,4388,0,13164,92147,,,,,,,,,,,,,,,,
BU01931400,GM0193,0,1043,109,1043,734,,1777,74,43,5,0,5,21,,131464,76391,8883,0,8883,37307,,,,,,,,,,,,,,,,
BU01931410,GM0193,0,672,82,672,270,,942,69,45,6,0,1,17,,65003,42393,5652,0,942,16015,,,,,,,,,,,,,,,,
BU01932000,GM0193,0,42,56,42,478,,520,89,44,1,0,5,40,,46305,22892,520,0,2601,20811,,,,,,,,,,,,,,,,
BU01932010,GM0193,0,0,53,0,1326,,1326,98,36,1,0,7,54,,129931,47730,1326,0,9281,71595,,,,,,,,,,,,,,,,
BU01932020,GM0193,0,117,7,117,40,,157,72,48,8,0,3,13,,11295,7530,1255,0,471,2039,,,,,,,,,,,,,,,,
BU01932100,GM0193,0,1019,89,1019,93,,1112,58,37,8,0,1,13,,64497,41145,8896,0,1112,14456,,,,,,,,,,,,,,,,
BU01932110,GM0193,0,1102,22,1102,36,,1138,51,32,8,0,0,10,,58025,36408,9102,0,0,11377,,,,,,,,,,,,,,,,
BU01932120,GM0193,0,65,2,65,14,,79,81,58,8,0,3,11,,6397,4581,632,0,237,869,,,,,,,,,,,,,,,,
BU01932130,GM0193,0,1,70,1,470,,471,83,30,1,0,6,46,,39058,14117,471,0,2823,21647,,,,,,,,,,,,,,,,
BU01932140,GM0193,0,1,12,1,76,,77,58,21,1,0,4,32,,4464,1616,77,0,308,2463,,,,,,,,,,,,,,,,
BU01932200,GM0193,0,2295,27,2295,91,,2386,44,26,7,0,0,10,,104996,62043,16704,0,0,23863,,,,,,,,,,,,,,,,
BU01932210,GM0193,0,15,4,15,1,,16,85,62,9,0,0,14,,1375,1003,146,0,0,226,,,,,,,,,,,,,,,,
BU01932220,GM0193,0,1867,27,1867,44,,1911,40,23,7,0,0,10,,76459,43964,13380,0,0,19115,,,,,,,,,,,,,,,,
BU01932230,GM0193,0,1652,24,1652,262,,1914,50,30,7,0,1,13,,95688,57413,13396,0,1914,24879,,,,,,,,,,,,,,,,
BU01932240,GM0193,0,2816,100,2816,461,,3277,47,25,6,0,1,14,,154014,81922,19661,0,3277,45876,,,,,,,,,,,,,,,,
BU01932250,GM0193,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BU01932260,GM0193,0,704,10,704,53,,757,42,23,7,0,1,11,,31793,17411,5299,0,757,8327,,,,,,,,,,,,,,,,
BU01932270,GM0193,0,4,5,4,42,,46,46,25,1,0,1,19,,2114,1149,46,0,46,873,,,,,,,,,,,,,,,,
BU01932280,GM0193,0,20,2,20,0,,20,81,62,9,0,0,10,,1630,1248,181,0,0,201,,,,,,,,,,,,,,,,
BU01933000,GM0193,0,1662,313,1662,1183,,2845,55,33,4,0,1,16,,156489,93893,11381,0,2845,45524,,,,,,,,,,,,,,,,
BU01933010,GM0193,0,891,36,891,64,,955,42,23,7,0,1,12,,40112,21966,6685,0,955,11461,,,,,,,,,,,,,,,,
BU01933020,GM0193,0,1378,350,1378,154,,1532,47,28,6,0,1,13,,72005,42897,9192,0,1532,19916,,,,,,,,,,,,,,,,
BU01933030,GM0193,0,1078,235,1078,145,,1223,49,31,6,0,1,12,,59910,37902,7336,0,1223,14672,,,,,,,,,,,,,,,,
BU01933100,GM0193,0,1046,276,1046,121,,1167,54,35,6,0,1,12,,63005,40837,7001,0,1167,14001,,,,,,,,,,,,,,,,
BU01933110,GM0193,0,2065,176,2065,372,,2437,49,28,6,0,1,14,,119423,68242,14623,0,2437,34121,,,,,,,,,,,,,,,,
BU01933120,GM0193,0,1593,68,1593,148,,1741,56,36,7,0,0,12,,97519,62691,12190,0,0,20897,,,,,,,,,,,,,,,,
BU01933130,GM0193,0,1450,65,1450,39,,1489,50,31,8,0,0,11,,74427,46145,11908,0,0,16374,,,,,,,,,,,,,,,,
BU01933200,GM0193,0,265,27,265,46,,311,82,59,8,0,2,13,,25487,18338,2487,0,622,4041,,,,,,,,,,,,,,,,
BU01933210,GM0193,0,43,4,43,11,,54,79,56,8,0,4,11,,4287,3039,434,0,217,597,,,,,,,,,,,,,,,,
BU01933220,GM0193,0,103,16,103,35,,138,86,63,8,0,4,11,,11849,8680,1102,0,551,1516,,,,,,,,,,,,,,,,
BU01934000,GM0193,0,1656,168,1656,281,,1937,65,42,7,0,1,15,,125919,81363,13561,0,1937,29058,,,,,,,,,,,,,,,,
BU01934010,GM0193,0,1,69,1,680,,681,81,33,1,0,7,39,,55148,22468,681,0,4766,26553,,,,,,,,,,,,,,,,
BU01934020,GM0193,0,103,14,103,26,,129,71,49,7,0,1,14,,9147,6313,902,0,129,1804,,,,,,,,,,,,,,,,
BU01934030,GM0193,0,123,269,123,2559,,2682,89,40,3,0,6,40,,238731,107295,8047,0,16094,107295,,,,,,,,,,,,,,,,
BU01934040,GM0193,0,32,51,32,1127,,1159,77,28,1,0,6,42,,89228,32447,1159,0,6953,48670,,,,,,,,,,,,,,,,
BU01934050,GM0193,0,53,7,53,8,,61,81,59,8,0,2,12,,4930,3591,487,0,122,730,,,,,,,,,,,,,,,,
BU01934100,GM0193,0,139,37,139,96,,235,73,49,6,0,2,17,,17155,11515,1410,0,470,3995,,,,,,,,,,,,,,,,
BU01934110,GM0193,0,9,575,9,2497,,2506,80,28,1,0,5,46,,200490,70171,2506,0,12531,115282,,,,,,,,,,,,,,,,
BU01934120,GM0193,0,244,20,244,32,,276,73,52,8,0,1,12,,20142,14348,2207,0,276,3311,,,,,,,,,,,,,,,,
BU01935000,GM0193,0,486,36,486,88,,574,60,41,7,0,0,12,,34412,23515,4015,0,0,6882,,,,,,,,,,,,,,,,
BU01935010,GM0193,0,370,18,370,30,,400,53,32,7,0,1,13,,21211,12807,2802,0,400,5203,,,,,,,,,,,,,,,,
BU01935020,GM0193,0,694,28,694,1080,,1774,44,24,4,0,0,16,,78056,42576,7096,0,0,28384,,,,,,,,,,,,,,,,
BU01935030,GM0193,0,1194,33,1194,81,,1275,53,34,8,0,0,11,,67583,43355,10201,0,0,14027,,,,,,,,,,,,,,,,
BU01935040,GM0193,0,1005,24,1005,41,,1046,50,31,8,0,0,10,,52323,32440,8372,0,0,10465,,,,,,,,,,,,,,,,
BU01935050,GM0193,0,568,6,568,12,,580,55,36,8,0,0,11,,31917,20891,4642,0,0,6383,,,,,,,,,,,,,,,,
BU01935060,GM0193,0,1454,31,1454,24,,1478,45,28,8,0,0,10,,66511,41385,11824,0,0,14780,,,,,,,,,,,,,,,,
BU01935070,GM0193,0,67,10,67,7,,74,83,61,9,0,1,12,,6120,4498,664,0,74,885,,,,,,,,,,,,,,,,
BU01935080,GM0193,0,200,16,200,229,,429,90,52,5,0,4,30,,38614,22310,2145,0,1716,12871,,,,,,,,,,,,,,,,
BU01935100,GM0193,0,576,86,576,108,,684,65,41,7,0,1,16,,44490,28063,4791,0,684,10952,,,,,,,,,,,,,,,,
BU01935110,GM0193,0,1869,112,1869,297,,2166,49,26,7,0,1,15,,106119,56308,15160,0,2166,32485,,,,,,,,,,,,,,,,
BU01935120,GM0193,0,981,12,981,60,,1041,45,28,7,0,0,10,,46832,29140,7285,0,0,10407,,,,,,,,,,,,,,,,
BU01935130,GM0193,0,450,2,450,1,,451,39,22,8,0,0,9,,17570,9911,3604,0,0,4055,,,,,,,,,,,,,,,,
BU01935140,GM0193,0,1205,57,1205,68,,1273,54,34,8,0,0,12,,68765,43296,10187,0,0,15281,,,,,,,,,,,,,,,,
BU01935150,GM0193,0,1192,9,1192,28,,1220,51,33,8,0,0,11,,62242,40274,9764,0,0,13425,,,,,,,,,,,,,,,,
BU01935160,GM0193,0,27,4,27,11,,38,85,59,9,0,1,16,,3231,2243,342,0,38,608,,,,,,,,,,,,,,,,
BU01935200,GM0193,0,155,8,155,20,,175,67,46,8,0,2,11,,11704,8035,1397,0,349,1922,,,,,,,,,,,,,,,,
BU01935210,GM0193,0,138,17,138,102,,240,82,54,7,0,2,19,,19706,12977,1682,0,481,4566,,,,,,,,,,,,,,,,
BU01970101,GM0197,0,40,2,40,6,,46,61,42,8,0,0,11,,2829,1948,371,0,0,510,,,,,,,,,,,,,,,,
BU01970102,GM0197,0,169,8,169,17,,186,81,61,8,0,2,10,,15080,11357,1489,0,372,1862,,,,,,,,,,,,,,,,
BU01970103,GM0197,0,135,14,135,22,,157,78,53,8,0,1,16,,12233,8312,1255,0,157,2509,,,,,,,,,,,,,,,,
BU01970104,GM0197,0,172,11,172,25,,197,80,56,8,0,1,15,,15777,11044,1578,0,197,2958,,,,,,,,,,,,,,,,
BU01970105,GM0197,0,60,4,60,11,,71,72,51,8,0,2,12,,5145,3645,572,0,143,858,,,,,,,,,,,,,,,,
BU01970106,GM0197,0,63,8,63,24,,87,71,51,6,0,0,13,,6191,4447,523,0,0,1134,,,,,,,,,,,,,,,,
BU01970107,GM0197,0,93,14,93,7,,100,75,56,8,0,1,10,,7492,5594,799,0,100,999,,,,,,,,,,,,,,,,
BU01970108,GM0197,0,241,15,241,17,,258,76,56,8,0,1,11,,19608,14448,2064,0,258,2838,,,,,,,,,,,,,,,,
BU01970109,GM0197,0,34,2,34,2,,36,74,53,9,0,0,12,,2630,1884,320,0,0,426,,,,,,,,,,,,,,,,
BU01970110,GM0197,0,241,28,241,67,,308,82,57,7,0,3,14,,25267,17563,2157,0,924,4314,,,,,,,,,,,,,,,,
BU01970111,GM0197,0,188,65,188,53,,241,80,57,8,0,4,11,,19318,13764,1932,0,966,2656,,,,,,,,,,,,,,,,
BU01970112,GM0197,0,28,2,28,6,,34,59,40,7,0,0,11,,2007,1361,238,0,0,374,,,,,,,,,,,,,,,,
BU01970201,GM0197,0,78,8,78,8,,86,79,58,8,0,1,12,,6809,4999,689,0,86,1034,,,,,,,,,,,,,,,,
BU01970202,GM0197,0,84,17,84,21,,105,80,53,7,0,2,17,,8436,5589,738,0,211,1793,,,,,,,,,,,,,,,,
BU01970203,GM0197,0,28,2,28,1,,29,77,58,8,0,1,10,,2236,1684,232,0,29,290,,,,,,,,,,,,,,,,
BU01970204,GM0197,0,660,41,660,151,,811,70,44,7,0,2,17,,56755,35675,5675,0,1622,13783,,,,,,,,,,,,,,,,
BU01970301,GM0197,0,912,42,912,117,,1029,63,42,7,0,0,13,,64812,43208,7201,0,0,13374,,,,,,,,,,,,,,,,
BU01970302,GM0197,0,1030,51,1030,97,,1127,64,41,8,0,1,14,,72145,46218,9018,0,1127,15782,,,,,,,,,,,,,,,,
BU01970303,GM0197,0,577,8,577,22,,599,58,39,8,0,0,11,,34724,23349,4790,0,0,6586,,,,,,,,,,,,,,,,
BU01970304,GM0197,0,1272,92,1272,109,,1381,62,41,8,0,1,12,,85604,56609,11046,0,1381,16569,,,,,,,,,,,,,,,,
BU01970305,GM0197,0,322,5,322,51,,373,59,33,8,0,1,18,,21989,12299,2982,0,373,6709,,,,,,,,,,,,,,,,
BU01970306,GM0197,0,439,9,439,52,,491,59,38,8,0,1,12,,28977,18663,3929,0,491,5894,,,,,,,,,,,,,,,,
BU01970307,GM0197,0,1329,199,1329,508,,1837,64,37,6,0,2,19,,117546,67956,11020,0,3673,34897,,,,,,,,,,,,,,,,
BU01970400,GM0197,0,1428,169,1428,348,,1776,65,40,7,0,1,16,,115430,71034,12431,0,1776,28414,,,,,,,,,,,,,,,,
BU01970401,GM0197,0,827,27,827,38,,865,62,42,8,0,0,11,,53640,36337,6921,0,0,9517,,,,,,,,,,,,,,,,
BU01970402,GM0197,0,1020,65,1020,109,,1129,62,39,8,0,1,14,,69984,44022,9030,0,1129,15803,,,,,,,,,,,,,,,,
BU01970403,GM0197,0,137,5,137,20,,157,71,50,8,0,1,12,,11136,7842,1255,0,157,1882,,,,,,,,,,,,,,,,
BU01970408,GM0197,0,101,0,101,0,,101,75,57,9,0,0,9,,7575,5757,909,0,0,909,,,,,,,,,,,,,,,,
BU01970409,GM0197,0,258,15,258,14,,272,78,58,9,0,1,10,,21220,15779,2448,0,272,2720,,,,,,,,,,,,,,,,
BU02000101,GM0200,0,3697,689,3697,3104,,6801,70,30,4,0,3,33,,476074,204032,27204,0,20403,224435,,,,,,,,,,,,,,,,
BU02000102,GM0200,0,963,99,963,745,,1708,65,27,4,0,3,31,,111048,46128,6834,0,5125,52961,,,,,,,,,,,,,,,,
BU02000201,GM0200,0,1502,122,1502,304,,1806,65,40,7,0,1,17,,117388,72239,12642,0,1806,30701,,,,,,,,,,,,,,,,
BU02000202,GM0200,0,628,21,628,261,,889,74,47,6,0,4,17,,65789,41785,5334,0,3556,15114,,,,,,,,,,,,,,,,
BU02000203,GM0200,0,2170,159,2170,999,,3169,72,39,6,0,2,26,,228164,123589,19014,0,6338,82393,,,,,,,,,,,,,,,,
BU02000204,GM0200,0,865,84,865,217,,1082,85,62,7,0,1,14,,91948,67068,7572,0,1082,15144,,,,,,,,,,,,,,,,
BU02000205,GM0200,0,2169,154,2169,295,,2464,59,36,7,0,1,15,,145360,88694,17246,0,2464,36956,,,,,,,,,,,,,,,,
BU02000206,GM0200,0,3065,368,3065,685,,3750,59,35,7,0,2,16,,221278,131266,26253,0,7501,60008,,,,,,,,,,,,,,,,
BU02000207,GM0200,0,4,15,4,115,,119,70,17,1,0,8,44,,8311,2018,119,0,950,5224,,,,,,,,,,,,,,,,
BU02000301,GM0200,0,1544,113,1544,215,,1759,65,41,8,0,1,15,,114311,72104,14069,0,1759,26379,,,,,,,,,,,,,,,,
BU02000302,GM0200,0,81,6,81,267,,348,97,49,4,0,10,34,,33708,17028,1390,0,3475,11815,,,,,,,,,,,,,,,,
BU02000303,GM0200,0,1221,39,1221,55,,1276,47,28,7,0,0,11,,59990,35739,8935,0,0,14040,,,,,,,,,,,,,,,,
BU02000304,GM0200,0,1565,54,1565,127,,1692,57,36,8,0,0,12,,96416,60894,13532,0,0,20298,,,,,,,,,,,,,,,,
BU02000305,GM0200,0,787,121,787,152,,939,58,38,7,0,0,13,,54460,35681,6573,0,0,12206,,,,,,,,,,,,,,,,
BU02000306,GM0200,0,1007,36,1007,75,,1082,60,39,8,0,0,13,,64897,42183,8653,0,0,14061,,,,,,,,,,,,,,,,
BU02000307,GM0200,0,79,45,79,593,,672,102,35,1,0,4,61,,68581,23533,672,0,2689,41014,,,,,,,,,,,,,,,,
BU02000308,GM0200,0,31,6,31,1332,,1363,125,71,3,0,6,45,,170411,96793,4090,0,8180,61348,,,,,,,,,,,,,,,,
BU02000309,GM0200,0,53,32,53,325,,378,95,35,2,0,7,51,,35882,13220,755,0,2644,19263,,,,,,,,,,,,,,,,
BU02000310,GM0200,0,2,42,2,629,,631,91,29,1,0,5,57,,57448,18307,631,0,3156,35984,,,,,,,,,,,,,,,,
BU02000311,GM0200,0,68,13,68,271,,339,103,42,2,0,6,54,,34877,14222,677,0,2032,18285,,,,,,,,,,,,,,,,
BU02000401,GM0200,0,1665,67,1665,640,,2305,57,32,6,0,1,17,,131402,73770,13832,0,2305,39190,,,,,,,,,,,,,,,,
BU02000402,GM0200,0,2552,250,2552,239,,2791,50,30,7,0,1,13,,139542,83725,19536,0,2791,36281,,,,,,,,,,,,,,,,
BU02000403,GM0200,0,1548,203,1548,104,,1652,50,31,7,0,0,12,,82609,51218,11565,0,0,19826,,,,,,,,,,,,,,,,
BU02000404,GM0200,0,1705,162,1705,111,,1816,53,33,7,0,0,12,,96249,59928,12712,0,0,21792,,,,,,,,,,,,,,,,
BU02000405,GM0200,0,1370,181,1370,171,,1541,50,31,7,0,1,13,,77049,47770,10787,0,1541,20033,,,,,,,,,,,,,,,,
BU02000406,GM0200,0,125,116,125,2082,,2207,96,37,1,0,7,52,,211874,81660,2207,0,15449,114765,,,,,,,,,,,,,,,,
BU02000407,GM0200,0,208,71,208,403,,611,80,30,3,0,4,43,,48841,18315,1832,0,2442,26252,,,,,,,,,,,,,,,,
BU02000408,GM0200,0,7,18,7,175,,182,86,47,1,0,5,33,,15643,8549,182,0,909,6002,,,,,,,,,,,,,,,,
BU02000409,GM0200,0,7,49,7,547,,554,64,28,1,0,4,32,,35430,15501,554,0,2214,17715,,,,,,,,,,,,,,,,
BU02000501,GM0200,0,1927,80,1927,75,,2002,50,33,7,0,0,11,,100084,66055,14012,0,0,22018,,,,,,,,,,,,,,,,
BU02000502,GM0200,0,1338,41,1338,47,,1385,49,30,7,0,0,11,,67886,41563,9698,0,0,15240,,,,,,,,,,,,,,,,
BU02000503,GM0200,0,2246,26,2246,52,,2298,51,33,7,0,0,10,,117209,75841,16087,0,0,22982,,,,,,,,,,,,,,,,
BU02000504,GM0200,0,1915,45,1915,92,,2007,49,31,8,0,0,11,,98334,62211,16054,0,0,22075,,,,,,,,,,,,,,,,
BU02000505,GM0200,0,2378,48,2378,206,,2584,52,30,7,0,1,13,,134378,77526,18089,0,2584,33595,,,,,,,,,,,,,,,,
BU02000506,GM0200,0,1495,121,1495,595,,2090,50,26,6,0,1,18,,104515,54348,12542,0,2090,37625,,,,,,,,,,,,,,,,
BU02000507,GM0200,0,47,37,47,280,,327,92,28,2,0,4,59,,30118,9166,655,0,1309,19315,,,,,,,,,,,,,,,,
BU02000508,GM0200,0,7,74,7,761,,768,87,20,1,0,5,61,,66785,15353,768,0,3838,46826,,,,,,,,,,,,,,,,
BU02000601,GM0200,0,1717,100,1717,480,,2197,57,28,6,0,1,21,,125209,61506,13180,0,2197,46130,,,,,,,,,,,,,,,,
BU02000602,GM0200,0,920,30,920,322,,1242,66,34,6,0,1,24,,82003,42244,7455,0,1242,29819,,,,,,,,,,,,,,,,
BU02000603,GM0200,0,1975,96,1975,333,,2308,50,26,7,0,1,16,,115379,59997,16153,0,2308,36921,,,,,,,,,,,,,,,,
BU02000604,GM0200,0,2438,22,2438,77,,2515,46,28,8,0,0,10,,115693,70422,20120,0,0,25151,,,,,,,,,,,,,,,,
BU02000605,GM0200,0,501,52,501,354,,855,75,39,6,0,4,26,,64156,33361,5132,0,3422,22241,,,,,,,,,,,,,,,,
BU02000606,GM0200,0,6,20,6,544,,550,101,27,1,0,6,67,,55511,14840,550,0,3298,36824,,,,,,,,,,,,,,,,
BU02000607,GM0200,0,3,12,3,610,,613,72,22,1,0,4,46,,44100,13475,613,0,2450,28175,,,,,,,,,,,,,,,,
BU02000608,GM0200,0,18,17,18,40,,58,77,30,3,0,4,40,,4459,1737,174,0,232,2317,,,,,,,,,,,,,,,,
BU02000701,GM0200,0,1031,21,1031,142,,1173,59,37,8,0,0,13,,69190,43390,9382,0,0,15245,,,,,,,,,,,,,,,,
BU02000702,GM0200,0,1777,110,1777,460,,2237,55,35,6,0,1,13,,123025,78289,13421,0,2237,29079,,,,,,,,,,,,,,,,
BU02000703,GM0200,0,1402,101,1402,100,,1502,56,36,7,0,0,13,,84090,54058,10511,0,0,19521,,,,,,,,,,,,,,,,
BU02000704,GM0200,0,1982,445,1982,382,,2364,54,29,6,0,1,18,,127663,68560,14185,0,2364,42554,,,,,,,,,,,,,,,,
BU02000705,GM0200,0,1627,120,1627,105,,1732,50,32,7,0,1,11,,86593,55420,12123,0,1732,19051,,,,,,,,,,,,,,,,
BU02000706,GM0200,0,151,157,151,1937,,2088,86,29,1,0,5,50,,179567,60552,2088,0,10440,104399,,,,,,,,,,,,,,,,
BU02000707,GM0200,0,23,36,23,257,,280,95,32,2,0,5,56,,26631,8971,561,0,1402,15699,,,,,,,,,,,,,,,,
BU02000708,GM0200,0,1957,36,1957,151,,2108,42,23,7,0,0,11,,88546,48489,14758,0,0,23191,,,,,,,,,,,,,,,,
BU02000709,GM0200,0,96,4,96,42,,138,62,27,7,0,2,26,,8580,3736,969,0,277,3598,,,,,,,,,,,,,,,,
BU02000801,GM0200,0,995,120,995,573,,1568,88,54,6,0,2,26,,138023,84696,9411,0,3137,40779,,,,,,,,,,,,,,,,
BU02000802,GM0200,0,657,30,657,85,,742,63,44,6,0,0,12,,46732,32639,4451,0,0,8901,,,,,,,,,,,,,,,,
BU02000803,GM0200,0,907,167,907,198,,1105,73,47,7,0,2,17,,80651,51926,7734,0,2210,18782,,,,,,,,,,,,,,,,
BU02000804,GM0200,0,589,16,589,80,,669,73,48,8,0,1,16,,48872,32135,5356,0,669,10712,,,,,,,,,,,,,,,,
BU02000805,GM0200,0,651,64,651,38,,689,53,34,7,0,0,12,,36519,23427,4823,0,0,8268,,,,,,,,,,,,,,,,
BU02000806,GM0200,0,1938,448,1938,677,,2615,58,31,6,0,2,20,,151678,81070,15691,0,5230,52303,,,,,,,,,,,,,,,,
BU02000807,GM0200,0,28,7,28,275,,303,107,62,4,0,15,27,,32389,18767,1211,0,4541,8173,,,,,,,,,,,,,,,,
BU02000808,GM0200,0,61,92,61,1000,,1061,89,26,1,0,6,56,,94472,27599,1061,0,6369,59443,,,,,,,,,,,,,,,,
BU02000809,GM0200,0,311,12,311,130,,441,55,34,6,0,0,14,,24254,14993,2646,0,0,6174,,,,,,,,,,,,,,,,
BU02001001,GM0200,0,693,34,693,143,,836,63,40,7,0,1,15,,52641,33423,5849,0,836,12534,,,,,,,,,,,,,,,,
BU02001002,GM0200,0,145,128,145,79,,224,75,49,7,0,5,13,,16823,10991,1570,0,1122,2916,,,,,,,,,,,,,,,,
BU02001003,GM0200,0,120,86,120,596,,716,77,44,3,0,6,24,,55150,31514,2149,0,4297,17190,,,,,,,,,,,,,,,,
BU02001004,GM0200,0,40,317,40,310,,350,97,49,4,0,11,33,,33916,17133,1399,0,3846,11538,,,,,,,,,,,,,,,,
BU02001101,GM0200,0,1,1,1,1,,2,110,59,4,0,2,45,,242,130,9,0,4,99,,,,,,,,,,,,,,,,
BU02001102,GM0200,0,113,8,113,10,,123,78,55,8,0,1,14,,9620,6783,987,0,123,1727,,,,,,,,,,,,,,,,
BU02001103,GM0200,0,22,7,22,61,,83,92,60,6,0,13,13,,7618,4968,497,0,1076,1076,,,,,,,,,,,,,,,,
BU02001104,GM0200,0,52,37,52,69,,121,85,36,4,0,4,40,,10286,4356,484,0,484,4840,,,,,,,,,,,,,,,,
BU02001201,GM0200,0,360,22,360,35,,395,64,42,8,0,1,13,,25306,16607,3163,0,395,5140,,,,,,,,,,,,,,,,
BU02001202,GM0200,0,31,15,31,45,,76,86,49,6,0,5,26,,6568,3742,458,0,382,1986,,,,,,,,,,,,,,,,
BU02001203,GM0200,0,67,642,67,370,,437,80,47,5,0,14,13,,34934,20523,2183,0,6113,5677,,,,,,,,,,,,,,,,
BU02001204,GM0200,0,196,24,196,96,,292,83,52,6,0,2,22,,24215,15171,1750,0,583,6418,,,,,,,,,,,,,,,,
BU02001301,GM0200,0,93,9,93,222,,315,97,37,3,0,3,54,,30595,11670,946,0,946,17032,,,,,,,,,,,,,,,,
BU02001302,GM0200,0,1018,64,1018,94,,1112,63,41,8,0,1,13,,70028,45574,8892,0,1112,14450,,,,,,,,,,,,,,,,
BU02001303,GM0200,0,289,76,289,255,,544,84,47,5,0,3,28,,45732,25588,2722,0,1633,15244,,,,,,,,,,,,,,,,
BU02001401,GM0200,0,1169,99,1169,282,,1451,68,41,7,0,1,18,,98637,59472,10154,0,1451,26110,,,,,,,,,,,,,,,,
BU02001402,GM0200,0,132,61,132,102,,234,91,62,7,0,6,16,,21325,14529,1640,0,1406,3749,,,,,,,,,,,,,,,,
BU02001403,GM0200,0,164,11,164,24,,188,72,48,8,0,1,14,,13512,9008,1501,0,188,2627,,,,,,,,,,,,,,,,
BU02001404,GM0200,0,268,1240,268,837,,1105,81,48,6,0,12,16,,89496,53034,6629,0,13259,17678,,,,,,,,,,,,,,,,
BU02001501,GM0200,0,221,14,221,42,,263,76,50,7,0,1,17,,20008,13163,1843,0,263,4476,,,,,,,,,,,,,,,,
BU02001502,GM0200,0,182,16,182,87,,269,85,50,6,0,2,27,,22845,13438,1613,0,538,7257,,,,,,,,,,,,,,,,
BU02001503,GM0200,0,47,11,47,23,,70,85,51,6,0,3,24,,5982,3589,422,0,211,1689,,,,,,,,,,,,,,,,
