BU_CODE,GM_code,nrWEQ [WEQ],nrWEQwoning [WEQ],nrWEQutil [WEQ],,H01_Vraag_totaal [ giga J per WEQ*yr],H02_Vraag_RV [ giga J per WEQ*yr],H03_Vraag_TW [ giga J per WEQ*yr],H04_Vraag_Vent [ giga J per WEQ*yr],H05_Vraag_K [ giga J per WEQ*yr],H06_Vraag_App [ giga J per WEQ*yr],,H01_Vraag_totaal [ giga J per yr],H02_Vraag_RV [ giga J per yr],H03_Vraag_TW [ giga J per yr],H04_Vraag_Vent [ giga J per yr],H05_Vraag_K [ giga J per yr],H06_Vraag_App [ giga J per yr]
GM0307_1_125,GM0307,184.869231,170,14.8692308,,36,15,7,1,1,12,,6655.292316,2773.038465,1294.084617,184.869231,184.869231,2218.430772
GM0342_9,GM0342,188.3,72,116.3,,77,30,5,0,14,27,,14499.1,5649,941.5,0,2636.2,5084.1
GM0307_1_96,GM0307,299.292308,249,50.2923077,,50,27,7,0,5,11,,14964.6154,8080.892316,2095.046156,0,1496.46154,3292.215388
GM0307_1_8,GM0307,506.292308,319,187.292308,,70,29,6,1,6,28,,35440.46156,14682.47693,3037.753848,506.292308,3037.753848,14176.18462
GM0307_1_128,GM0307,517.038462,502,15.0384615,,32,14,7,1,1,10,,16545.23078,7238.538468,3619.269234,517.038462,517.038462,5170.38462
GM0307_1_16,GM0307,221.492308,142,79.4923077,,62,32,7,1,8,14,,13732.5231,7087.753856,1550.446156,221.492308,1771.938464,3100.892312
GM0327_19,GM0327,132.846154,23,109.846154,,48,20,3,0,7,18,,6376.615392,2656.92308,398.538462,0,929.923078,2391.230772
GM0327_30,GM0327,59.9,46,13.9,,68,34,7,1,4,21,,4073.2,2036.6,419.3,59.9,239.6,1257.9
GM0342_70,GM0342,857.1,59,798.1,,74,21,2,0,17,35,,63425.4,17999.1,1714.2,0,14570.7,29998.5
GM0342_25,GM0342,581.8,329,252.8,,42,19,5,0,3,16,,24435.6,11054.2,2909,0,1745.4,9308.8
GM0355_98,GM0355,314.507692,15,299.507692,,90,25,2,0,19,42,,28305.69228,7862.6923,629.015384,0,5975.646148,13209.32306
GM0307_1_13,GM0307,308.3,118,190.3,,69,27,4,1,10,27,,21272.7,8324.1,1233.2,308.3,3083,8324.1
GM0307_2_33,GM0307,189.2,181,8.2,,31,15,5,0,1,10,,5865.2,2838,946,0,189.2,1892
GM0307_1_57,GM0307,296.392308,84,212.392308,,37,16,3,0,1,17,,10966.5154,4742.276928,889.176924,0,296.392308,5038.669236
GM0307_1_94,GM0307,251.107692,250,1.10769231,,26,11,7,0,0,8,,6528.799992,2762.184612,1757.753844,0,0,2008.861536
GM0307_1_4,GM0307,125.023077,94,31.0230769,,50,21,6,0,4,20,,6251.15385,2625.484617,750.138462,0,500.092308,2500.46154
