neighbourhood,type,E,H,geothermal,HT,MT,LT,backup,undecided,useful_heat,heat_reduction
BU03071201,utility,635.9587981294092,114.00851792339785,,,,,,,203.79892135300003,0.0
BU03071502,residences,5801.517,,,,,36358.806800991704,25665.040094817672,,36358.806800991704,957.3132615282974
BU03071502,utility,5801.5169976375,,,,,2579.39923455,1820.7524008588236,,2579.39923455,0.0
BU03072603,residences,2059.634837419635,3960.317410762949,,,,,,,7002.357745369428,235.48269733057282
BU03072603,utility,1402.554702614265,995.2303708353702,,,,,,,1759.6971082940001,0.0
BU03070402,residences,47.141999999999996,,,,,216.4534574159997,152.79067582305862,,216.4534574159997,13.134220334000283
BU03070402,utility,47.14201818899999,,,,,17800.945072815004,12565.372992575298,,17800.945072815004,0.0
BU03070801,residences,5142.744000000001,,,,,32373.08056802,22851.586283308236,,32373.08056802,0.0
BU03070801,utility,5142.744002088,,,,,4839.518186272,3416.1304844272945,,4839.518186272,0.0
BU03070101,residences,1706.292000033,,,,,9931.763032040002,7010.656257910589,,9931.763032040002,0.0
BU03070101,utility,1706.29199854125,,,,,6934.156859946733,4894.698959962399,,6934.156859946733,1345.459402208267
BU03070601,residences,3693.600000216001,,,,,18147.763032839997,12810.185670239998,,18147.763032839997,0.0
BU03070601,utility,3693.59999359125,,,,,11699.939464709163,8258.780798618232,,11699.939464709163,2270.764386396838
BU03071002,residences,5164.56,,,,,31164.840439140004,21998.710898216472,,31164.840439140004,0.0
BU03071002,utility,5164.560000419251,,,,,1336.950479140725,943.7297499816883,,1336.950479140725,258.5230862832747
BU03070301,residences,3738.555,,,,,23222.101474628595,16392.071629149596,,23222.101474628595,865.4814618814065
BU03070301,utility,3738.555001776,,,,,2731.4401284859996,1928.0753848136467,,2731.4401284859996,0.0
BU03070702,residences,5337.494999811,,,,,33424.570300499996,23593.814329764704,,33424.570300499996,0.0
BU03070702,utility,5337.495008618999,,,,,13021.88316129284,9191.917525618475,,13021.88316129284,150.8260293151601
BU03070500,residences,707.1300000599999,,,,,3534.81516608,2495.1636466447058,,3534.81516608,0.0
BU03070500,utility,707.1299807197499,,,,,31969.208560178005,22566.50016012565,,31969.208560178005,0.0
BU03072501,residences,0.0,,,,,,,,0.0,0.0
BU03072501,utility,9121.059942901558,,,,,,,,34203.97478588084,12162.298115569161
BU03070103,residences,1835.3520000600001,,,,,11064.9747226,7810.570392423529,,11064.9747226,0.0
BU03070103,utility,1835.3520000000003,,,,,7627.884038509262,5384.3887330653615,,7627.884038509262,1273.2473986907391
BU03070302,residences,5075.109,,,,,28256.78356804,19945.964871557644,,28256.78356804,0.0
BU03070302,utility,5075.1090012825,,,,,2192.8973332230003,1547.9275293338826,,2192.8973332230003,0.0
BU03071602,residences,7178.2200002955,,,,,47486.33333826,33519.76470936,,47486.33333826,0.0
BU03071602,utility,7178.2199968635005,,,,,7101.165060633,5012.587101623294,,7101.165060633,0.0
BU03070102,residences,726.3,,,,,3877.4091630000003,2736.994703294118,,3877.4091630000003,0.0
BU03070102,utility,726.29999883,,,,,6158.13684675,4346.920127117646,,6158.13684675,0.0
BU03071001,residences,4564.755,,,,,27902.55924225,19695.924171000002,,27902.55924225,0.0
BU03071001,utility,4564.75500771075,,,,,10030.38796689,7080.273858981177,,10030.38796689,0.0
BU03072500,residences,546.264,,,,,2839.05213264,2004.036799510588,,2839.05213264,0.0
BU03072500,utility,546.26395207725,,,,,53509.359993926,37771.31293688894,,53509.359993926,0.0
BU03071801,residences,189.54000000000002,,,,,785.9968404599999,554.8212991482353,,785.9968404599998,0.0
BU03071801,utility,189.53998925399998,,,,,29410.835746908004,20760.589938993886,,29410.835746908004,0.0
BU03070106,residences,1707.534,,,,,8978.17377604,6337.534430145882,,8978.17377604,0.0
BU03070106,utility,1707.5340014174997,,,,,14660.68783329,10348.720823498823,,14660.68783329,0.0
BU03070403,residences,141.42599994749997,,,,,689.9647813704984,487.0339633203518,,689.9647813704984,12.79825177950154
BU03070403,utility,141.4260143775,,,,,60674.357360591996,42828.95813688846,,60674.357360591996,0.0
BU03070200,residences,4915.199334539511,,,,,,,,9327.69875275129,2492.5666488787097
BU03070200,utility,9634.545307846289,,,,,,,,27025.246129516083,10141.213556953915
BU03071403,residences,6340.112999999999,,,,,40829.11848639,28820.554225687058,,40829.11848639,0.0
BU03071403,utility,6340.112999154,,,,,5343.066235248001,3771.5761660574126,,5343.066235248001,0.0
BU03070700,residences,6689.19599990775,,,,,37164.40916559,26233.70058747529,,37164.40916559,0.0
BU03070700,utility,6689.195996004,,,,,5765.323120944,4069.6398500781174,,5765.323120944,0.0
BU03070206,residences,1504.0079998125,,,,,8067.9999995,5695.0588231764705,,8067.9999995,0.0
BU03070206,utility,1504.00799776875,,,,,6197.93756815855,4375.01475399427,,6197.93756815855,801.2954025914505
BU03071705,residences,3807.648,,,,,25188.003000510034,17779.766823889437,,25188.003000510034,1057.4567137299662
BU03071705,utility,3807.648000315,,,,,278.284530463,196.43613915035294,,278.284530463,54.353559902000015
BU03070803,residences,3745.4399999917496,,,,,19767.786730530002,13953.731809785882,,19767.786730530002,0.0
BU03070803,utility,3745.4399972789997,,,,,2599.4070448840002,1834.8755610945884,,2599.4070448840002,0.0
BU03072003,residences,3870.585,,,,,16528.27803904,11667.019792263529,,16528.27803904,0.0
BU03072003,utility,3870.585004369499,,,,,4588.292659566,3238.7948185171767,,4588.292659566,0.0
BU03070305,residences,4434.911999775,,,,,26751.06635025,18883.105659,,26751.06635025,0.0
BU03070305,utility,4434.912000765,,,,,1408.5569496084292,994.2754938412442,,1408.5569496084292,210.44248681957092
BU03071400,residences,6334.523997975,,,,,30226.022114800002,21336.01561044706,,30226.022114800002,0.0
BU03071400,utility,6334.5239919225,,,,,10589.576497816,7474.995174928941,,10589.576497816,0.0
BU03071503,residences,5351.508,,,,,25855.090047,18250.651797882354,,25855.090047,0.0
BU03071503,utility,5351.508001271251,,,,,2318.40110517456,1636.5184271820426,,2318.40110517456,446.23080380544013
BU03071701,residences,4159.349999999999,,,,,23622.6224309,16674.792304164705,,23622.6224309,0.0
BU03071701,utility,4159.349999091751,,,,,2193.001214839,1548.0008575334118,,2193.001214839,0.0
BU03072104,residences,6893.314941808449,,,,,,,,12252.15728178168,3656.7210766583216
BU03072104,utility,3868.523605451828,,,,,,,,909.189776181855,335.9310216681452
BU03070905,residences,3930.066,,,,,17174.29384102,12123.030946602354,,17174.29384102,0.0
BU03070905,utility,3930.066003504,,,,,1370.6988353599997,967.5521190776469,,1370.6988353599997,0.0
BU03071101,residences,5566.8870016500005,,,,,34246.1658796,24173.76415030588,,34246.1658796,0.0
BU03071101,utility,5566.886999064,,,,,131.35520872799998,92.72132380799998,,131.35520872799998,0.0
BU03072402,residences,14226.94155820361,,,,,,,,24916.38584326354,5843.955386146459
